,,,,,,
ZIP Code,City,County,Type,,,
ZIP Code 84118,Salt Lake City,Salt Lake,Standard,,,
ZIP Code 84119,West Valley City,Salt Lake,Standard,,,
ZIP Code 84120,West Valley City,Salt Lake,Standard,,,
ZIP Code 84121,Salt Lake City,Salt Lake,Standard,,,
ZIP Code 84122,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84123,Salt Lake City,Salt Lake,Standard,,,
ZIP Code 84124,Salt Lake City,Salt Lake,Standard,,,
ZIP Code 84125,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84126,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84127,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84128,West Valley City,Salt Lake,Standard,,,
ZIP Code 84129,Salt Lake City,Salt Lake,Standard,,,
ZIP Code 84130,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84131,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84132,Salt Lake City,Salt Lake,Unique,,,
ZIP Code 84133,Salt Lake City,Salt Lake,Standard,,,
ZIP Code 84134,Salt Lake City,Salt Lake,Unique,,,
ZIP Code 84138,Salt Lake City,Salt Lake,Standard,,,
ZIP Code 84139,Salt Lake City,Salt Lake,Unique,,,
ZIP Code 84141,Salt Lake City,Salt Lake,Unique,,,
ZIP Code 84143,Salt Lake City,Salt Lake,Unique,,,
ZIP Code 84145,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84147,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84148,Salt Lake City,Salt Lake,Unique,,,
ZIP Code 84150,Salt Lake City,Salt Lake,Unique,,,
ZIP Code 84151,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84152,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84157,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84158,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84165,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84170,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84171,Salt Lake City,Salt Lake,P.O. Box,,,
ZIP Code 84180,Salt Lake City,Salt Lake,Standard,,,
ZIP Code 84184,Salt Lake City,Salt Lake,Unique,,,
ZIP Code 84190,Salt Lake City,Salt Lake,Unique,,,
ZIP Code 84199,Salt Lake City,Salt Lake,Unique,,,
ZIP Code 84201,Ogden,Weber,Unique,,,
ZIP Code 84244,Ogden,Weber,Unique,,,
ZIP Code 84301,Bear River City,Box Elder,P.O. Box,,,
ZIP Code 84302,Brigham City,Box Elder,Standard,,,
ZIP Code 84304,Cache Junction,Cache,Standard,,,
ZIP Code 84305,Clarkston,Cache,P.O. Box,,,
